PVWatts Hourly PV Performance Data,,,,,,,,,,,
Requested Location,"800 Lancaster Ave, Villanova, PA 19085",,,,,,,,,,
Solar Resource Data Location,"NSRDB Lat/Lng: 40.05, -75.34",,,,,,,,,,
Latitude (degrees),40.05,,,,,,,,,,
Longitude (degrees),-75.34,,,,,,,,,,
Elevation (m),101.5199966,,,,,,,,,,
DC System Size (kW),1,,,,,,,,,,
Module Type,Premium,,,,,,,,,,
Array Type,Fixed (open rack),,,,,,,,,,
Array Tilt (deg),20,,,,,,,,,,
Array Azimuth (deg),180,,,,,,,,,,
System Losses (%),14.08,,,,,,,,,,
DC to AC Size Ratio,1.2,,,,,,,,,,
Inverter Efficiency (%),96,,,,,,,,,,
Ground Coverage Ratio,NA,,,,,,,,,,
Albedo,From weather file,,,,,,,,,,
Bifacial,Yes (0.7),,,,,,,,,,
Monthly Irradiance Loss (%),,,,,,,,,,,
1,4,4,0,0,-7,1.2,0.11,0,-7,0,0
1,4,5,0,0,-7,1.1,0.11,0,-7,0,0
1,4,6,0,0,-7,1.1,0.11,0,-7,0,0
1,4,7,0,0,-6,1.1,0.11,0,0,0,0
1,4,8,549,44,-5,1.2,0.11,273.41,2.675,237.216,224.847
1,4,9,730,63,-4,1.4,0.11,491.144,9.222,450.779,430.842
1,4,10,815,73,-3,1.4,0.11,651.579,14.5,588.313,563.503
1,4,11,399,168,-3,1.4,0.11,508.01,10.561,458.608,438.394
1,4,12,228,197,-2,1.3,0.11,396.373,8.796,356.718,340.114
1,4,13,411,148,-2,1.3,0.11,473.217,10.944,427.392,408.284
1,4,14,167,133,-3,1.2,0.11,250.431,3.995,227.832,215.796
1,4,15,0,27,-3,1.1,0.11,25.994,-2.266,21.937,17.196
1,4,16,0,4,-3,1,0.11,3.84,-2.906,1.929,0
1,4,17,0,0,-4,1,0.11,0,-4,0,0
1,4,18,0,0,-4,1,0.11,0,-4,0,0
1,4,19,0,0,-5,1,0.11,0,-5,0,0
1,4,20,0,0,-5,0.9,0.11,0,-5,0,0
1,4,21,0,0,-6,0.8,0.11,0,-6,0,0
1,4,22,0,0,-7,0.8,0.11,0,-7,0,0
1,4,23,0,0,-7,0.8,0.11,0,-7,0,0
1,5,0,0,0,-7,0.7,0.11,0,-7,0,0
1,5,1,0,0,-8,0.7,0.11,0,-8,0,0
1,5,2,0,0,-8,0.7,0.11,0,-8,0,0
1,5,3,0,0,-8,0.7,0.11,0,-8,0,0
1,5,4,0,0,-8,0.7,0.11,0,-8,0,0
1,5,5,0,0,-8,0.7,0.11,0,-8,0,0
